,device_id,date,message_type,trace,part_of_the_day
0,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,1,681d74bc2ce50890fe5a58a991527d407e01282a,PART_3
1,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,2,de7f6fc0f686e77f7f43f90ec9e7b2aa00f7adfb,PART_2
2,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,de7f6fc0f686e77f7f43f90ec9e7b2aa00f7adfb,PART_2
3,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,aa6878b1c31a9420245df1daffb7b223338737a3,PART_2
4,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,fdf4ec8eabe958383c7abd84c37a9a6f8bb8dc66,PART_2
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,1,10c8f2777a22268d183271d5331b661b40fc78c2,PART_2
6,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,1,681d74bc2ce50890fe5a58a991527d407e01282a,PART_3
7,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,1,eb6334584f5e120da45de8d23360775f01cb1acd,PART_2
8,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-11,1,eb6334584f5e120da45de8d23360775f01cb1acd,PART_2
9,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,1,5a28aa542e881f0a4ce0a166504b7752f17b3f63,PART_3
10,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,fda50da6319f5cfd4d670c1f0fc2b60a93204203,PART_2
11,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,fda50da6319f5cfd4d670c1f0fc2b60a93204203,PART_3
12,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,7f3385df1a170834abcd8db22900da2bd99c14ef,PART_3
13,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,1aaac8667f70c3839d52d66eaf87641a5b6f2fff,PART_4
14,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,1,310639fa44ed18b510bf3441a3d0c76fb59f6b2e,PART_2
15,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,0706025b2bbcec1ed8d64822f4eccd96314938d0,PART_2
16,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,1,9345d7277a3cc7d47b86b0fbffaa6c0ffc2571d9,PART_2
17,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,aa6878b1c31a9420245df1daffb7b223338737a3,PART_2
18,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,6845974c36c2431147749372d9a770652f9c09f1,PART_2
19,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,681d74bc2ce50890fe5a58a991527d407e01282a,PART_3
20,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,79dab04c8818de23c1a9fdd0c1d975a33fbb76b4,PART_3
21,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,1,10c8f2777a22268d183271d5331b661b40fc78c2,PART_3
22,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,681d74bc2ce50890fe5a58a991527d407e01282a,PART_3
23,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,3295b0d1f1ba9c78239eb2a8ff37f34d64ef304c,PART_3
24,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,1,2b681c0a24baff8899d7163cc7f805c75e1f44e4,PART_2
25,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,7005983a71bf59bb3e26432b00a4cc0bef928444,PART_3
26,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,1,2b681c0a24baff8899d7163cc7f805c75e1f44e4,PART_3
27,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,1,a968db3c7aca825be0db62b852731b58f0215e20,PART_3
28,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,19050b6bc2c3a49e4c15c5d7da0b27754b72b8b3,PART_3
29,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,681d74bc2ce50890fe5a58a991527d407e01282a,PART_4
30,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-15,1,aefe32ee79443cb13fee987f18e4fe99b61f2b6e,PART_2
31,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-15,1,7005983a71bf59bb3e26432b00a4cc0bef928444,PART_2
32,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,9d8e2b1e5a26fd4d801aff47f365bae6c4e3b9cc,PART_1
33,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,9d8e2b1e5a26fd4d801aff47f365bae6c4e3b9cc,PART_2
34,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,7ce0cde2861eec926d46b85c4f1e2b4f2d7601e6,PART_3
35,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,10c8f2777a22268d183271d5331b661b40fc78c2,PART_3
36,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,1,f398f7e1bfb0043d24a1ee3da1db4455ae4f44f2,PART_2
37,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,1,d79406cd3646cc4d4e9b341ff0faceb8552ad4e7,PART_3
38,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,1,ce490a07e4010c17feb3eb25878002cb8498d2eb,PART_3
39,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-23,1,44ed4aa8df96ae44b5f44602f0d08f9f3c0fe9fa,PART_3
40,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-23,1,44ed4aa8df96ae44b5f44602f0d08f9f3c0fe9fa,PART_3
41,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-03,2,93ef9e1988b11921289ed0822caa9c2ca25d8b7b,PART_4
42,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-03,2,93ef9e1988b11921289ed0822caa9c2ca25d8b7b,PART_4
