,,0
Bluetooth_count_week,Explorer_Rank,0.18149265247798213
Bluetooth_count_week,Builder_Rank,-0.06317259176674182
Bluetooth_count_week,Director_Rank,-0.018053264817911054
Bluetooth_count_week,Negotiator_Rank,0.2124023967338977
Bluetooth_count_week,Secure_attachment,0.22567886231199075
Bluetooth_count_week,Anxious-preoccupied_attachment,-0.10185234222167097
Bluetooth_count_week,Fearful-avoidant_attachment,-0.131283675950886
Bluetooth_count_week,Dismissive–avoidant_attachment,0.07622886815688794
Bluetooth_count_week,FFM_Extraversion,0.04305000679319256
Bluetooth_count_week,FFM_Agreeableness,0.02063292968657838
Bluetooth_count_week,FFM_Concientiousness,-0.07239815115714868
Bluetooth_count_week,FFM_Neurotism,-0.09194100821193393
Bluetooth_count_week,FFM_Openess,0.0955718296708161
Bluetooth_count_week,Machiavellianism,-0.04784150286931938
Bluetooth_count_week,Narcissism,0.17917031906632325
Bluetooth_count_week,Psychopathy,0.04287536523979782
Bluetooth_count_week,Dark_Triad_Compounded,0.07979467682378463
Bluetooth_count_week,RTB-Final_Score,0.2121787491538898
Bluetooth_count_week,Ambiguous_stimuli_in_general_(G),-0.025360695258162945
Bluetooth_count_week,Complex_stimuli_(C),-0.03103815034174344
Bluetooth_count_week,Uncertain_stimuli_(U),0.14227217303238
Bluetooth_count_week,New/unfamiliar/novel_stimuli_(N),0.04926039538372561
Bluetooth_count_week,Insoluble/illogical/irreducible/internally_inconsistent_stimuli_(I),0.007841176708503478
Bluetooth_count_week,TFA_SUM,0.011954388119942353
Bluetooth_count_week,TFA_(Tolerance_for_Ambiguity)_Score,0.011921447847048955
Bluetooth_count_week,Self_Efficacy,0.13725727543961982
Bluetooth_count_week,Self-Discipline,-0.16140886919903819
Bluetooth_count_week,Tolerance,0.07078198455357143
Bluetooth_count_week,Absorption,0.21741454193596146
Bluetooth_count_week,Appraisal,0.16223622006405566
Bluetooth_count_week,Regulation,-0.006353857763317768
Bluetooth_count_week,Distress_Tolrance_Final,0.14276940372479105
Bluetooth_count_week,Creativity_bricolage,0.2237187903917923
Bluetooth_count_week,Pressure_stress,0.3005872014346278
Bluetooth_count_week,Action_persistence,0.05059970463612826
Bluetooth_count_week,Improvisation_capacity_Final,0.2487332540511718
Bluetooth_count_week,Creativity_Compound_Score_(IPIP),0.07310706728690172
Bluetooth_count_week,Locus_of_Control,-0.01937272729714824
Bluetooth_count_week,Self-emotion_appraisal_(SEA),0.0072050323495105135
Bluetooth_count_week,Others’_emotion_appraisal_(OEA),-0.014058065410917956
Bluetooth_count_week,Use_of_emotion_(UOE),-0.05309313482950541
Bluetooth_count_week,Regulation_of_emotion_(ROE),0.023179895907713084
Bluetooth_count_week,ESI_Compund_Score,-0.011574025586144955
Bluetooth_count_week,Social_Desirabilty_Score,-8.289729339378205e-05
Bluetooth_count_week,ERM-__Physical_Endurance,-0.03395431273222302
Bluetooth_count_week,TMM-_Physical_Tempo,-0.009403232665420634
Bluetooth_count_week,SS-_Risk_Seeking,0.15129824655454713
Bluetooth_count_week,ERS-_Social_Endurance,0.05132066875964827
Bluetooth_count_week,TMS-_Social_Tempo,0.05850663875455721
Bluetooth_count_week,EMP-_Empathy,-0.05316210115949188
